timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 08:03:15.778, 0, 0, 0, 148974, 183359, 159.58
2026/03/08 08:03:15.809, 0, 0, 0, 148974, 183359, 159.58
2026/03/08 08:03:16.838, 0, 0, 0, 148974, 183359, 157.65
2026/03/08 08:03:17.868, 0, 0, 0, 148974, 183359, 160.12
2026/03/08 08:03:18.899, 0, 0, 0, 148974, 183359, 157.67
2026/03/08 08:03:19.931, 0, 0, 0, 148974, 183359, 157.47
2026/03/08 08:03:20.962, 0, 0, 0, 148974, 183359, 157.46
2026/03/08 08:03:21.993, 0, 0, 0, 148974, 183359, 157.51
2026/03/08 08:03:23.024, 0, 0, 0, 148974, 183359, 157.43
2026/03/08 08:03:24.056, 0, 0, 0, 148974, 183359, 157.38
2026/03/08 08:03:25.086, 0, 0, 0, 148974, 183359, 157.36
2026/03/08 08:03:26.117, 0, 14, 3, 148974, 183359, 167.51
2026/03/08 08:03:27.148, 0, 18, 5, 148974, 183359, 186.84
2026/03/08 08:03:28.180, 0, 22, 7, 148974, 183359, 203.76
2026/03/08 08:03:29.212, 0, 23, 8, 148974, 183359, 216.68
2026/03/08 08:03:30.244, 0, 26, 10, 148974, 183359, 223.15
2026/03/08 08:03:31.274, 0, 30, 12, 148974, 183359, 241.76
2026/03/08 08:03:32.306, 0, 31, 12, 148974, 183359, 259.82
2026/03/08 08:03:33.338, 0, 35, 13, 148974, 183359, 250.90
2026/03/08 08:03:34.368, 0, 34, 14, 148974, 183359, 270.63
2026/03/08 08:03:35.399, 0, 36, 15, 148974, 183359, 279.36
2026/03/08 08:03:36.429, 0, 39, 15, 148974, 183359, 282.42
2026/03/08 08:03:37.462, 0, 42, 16, 148974, 183359, 287.02
2026/03/08 08:03:38.493, 0, 40, 17, 148974, 183359, 296.76
2026/03/08 08:03:39.522, 0, 44, 17, 148974, 183359, 303.48
2026/03/08 08:03:40.551, 0, 45, 16, 148974, 183359, 304.96
2026/03/08 08:03:41.582, 0, 43, 17, 148974, 183359, 313.28
2026/03/08 08:03:42.611, 0, 44, 18, 148974, 183359, 310.72
2026/03/08 08:03:43.642, 0, 44, 18, 148974, 183359, 311.54
2026/03/08 08:03:44.670, 0, 45, 18, 148974, 183359, 311.31
2026/03/08 08:03:45.701, 0, 43, 18, 148974, 183359, 314.66
2026/03/08 08:03:46.730, 0, 45, 18, 148974, 183359, 307.25
2026/03/08 08:03:47.760, 0, 47, 19, 148974, 183359, 305.09
2026/03/08 08:03:48.788, 0, 45, 18, 148974, 183359, 324.19
2026/03/08 08:03:49.817, 0, 45, 18, 148974, 183359, 320.37
2026/03/08 08:03:50.844, 0, 45, 18, 148974, 183359, 311.79
2026/03/08 08:03:51.876, 0, 44, 18, 148974, 183359, 318.35
2026/03/08 08:03:52.904, 0, 45, 19, 148974, 183359, 316.64
2026/03/08 08:03:53.936, 0, 47, 20, 148974, 183359, 320.70
2026/03/08 08:03:54.967, 0, 46, 19, 148974, 183359, 318.27
2026/03/08 08:03:55.999, 0, 44, 18, 148974, 183359, 316.26
2026/03/08 08:03:57.028, 0, 44, 18, 148974, 183359, 315.09
2026/03/08 08:03:58.059, 0, 47, 19, 148974, 183359, 312.55
2026/03/08 08:03:59.088, 0, 46, 19, 148974, 183359, 317.53
2026/03/08 08:04:00.120, 0, 47, 19, 148974, 183359, 319.79
2026/03/08 08:04:01.148, 0, 46, 19, 148974, 183359, 320.44
2026/03/08 08:04:02.178, 0, 43, 18, 148974, 183359, 316.25
2026/03/08 08:04:03.207, 0, 46, 19, 148974, 183359, 313.39
2026/03/08 08:04:04.237, 0, 44, 18, 148974, 183359, 320.24
2026/03/08 08:04:05.265, 0, 46, 19, 148974, 183359, 316.32
2026/03/08 08:04:06.293, 0, 46, 19, 148974, 183359, 318.62
2026/03/08 08:04:07.322, 0, 45, 19, 148974, 183359, 320.23
2026/03/08 08:04:08.353, 0, 44, 18, 148974, 183359, 318.74
2026/03/08 08:04:09.382, 0, 45, 19, 148974, 183359, 316.94
2026/03/08 08:04:10.414, 0, 47, 20, 148974, 183359, 317.19
2026/03/08 08:04:11.445, 0, 46, 19, 148974, 183359, 316.01
2026/03/08 08:04:12.477, 0, 44, 18, 148974, 183359, 314.36
2026/03/08 08:04:13.511, 0, 46, 19, 148974, 183359, 317.21
2026/03/08 08:04:14.542, 0, 45, 19, 148974, 183359, 323.77
2026/03/08 08:04:15.572, 0, 46, 19, 148974, 183359, 323.15
