timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/03/08 06:50:55.864, 0, 0, 0, 148972, 183359, 160.14
2026/03/08 06:50:55.893, 0, 0, 0, 148972, 183359, 160.14
2026/03/08 06:50:56.923, 0, 0, 0, 148972, 183359, 156.91
2026/03/08 06:50:57.955, 0, 0, 0, 148972, 183359, 157.35
2026/03/08 06:50:58.985, 0, 0, 0, 148972, 183359, 157.47
2026/03/08 06:51:00.017, 0, 0, 0, 148972, 183359, 157.15
2026/03/08 06:51:01.045, 0, 0, 0, 148972, 183359, 157.10
2026/03/08 06:51:02.076, 0, 0, 0, 148972, 183359, 157.07
2026/03/08 06:51:03.107, 0, 0, 0, 148972, 183359, 156.95
2026/03/08 06:51:04.139, 0, 0, 0, 148972, 183359, 157.52
2026/03/08 06:51:05.168, 0, 0, 0, 148972, 183359, 157.13
2026/03/08 06:51:06.198, 0, 0, 0, 148972, 183359, 157.16
2026/03/08 06:51:07.226, 0, 0, 0, 148972, 183359, 157.01
2026/03/08 06:51:08.257, 0, 0, 0, 148972, 183359, 157.10
2026/03/08 06:51:09.287, 0, 0, 0, 148972, 183359, 157.06
2026/03/08 06:51:10.315, 0, 0, 0, 148972, 183359, 159.27
2026/03/08 06:51:11.344, 0, 0, 0, 148972, 183359, 157.00
2026/03/08 06:51:12.372, 0, 0, 0, 148972, 183359, 156.86
2026/03/08 06:51:13.407, 0, 100, 20, 148972, 183359, 462.39
2026/03/08 06:51:14.440, 0, 31, 12, 148972, 183359, 529.93
2026/03/08 06:51:15.473, 0, 34, 14, 148972, 183359, 263.40
2026/03/08 06:51:16.503, 0, 33, 14, 148972, 183359, 269.85
2026/03/08 06:51:17.534, 0, 33, 14, 148972, 183359, 265.77
2026/03/08 06:51:18.562, 0, 33, 14, 148972, 183359, 263.33
2026/03/08 06:51:19.594, 0, 34, 15, 148972, 183359, 268.78
2026/03/08 06:51:20.622, 0, 34, 15, 148972, 183359, 273.91
2026/03/08 06:51:21.653, 0, 34, 15, 148972, 183359, 270.27
2026/03/08 06:51:22.684, 0, 34, 15, 148972, 183359, 276.63
2026/03/08 06:51:23.714, 0, 34, 16, 148972, 183359, 271.49
2026/03/08 06:51:24.745, 0, 34, 15, 148972, 183359, 274.92
2026/03/08 06:51:25.773, 0, 34, 15, 148972, 183359, 280.73
2026/03/08 06:51:26.803, 0, 35, 16, 148972, 183359, 278.11
2026/03/08 06:51:27.830, 0, 35, 16, 148972, 183359, 273.75
2026/03/08 06:51:28.863, 0, 34, 15, 148972, 183359, 274.42
2026/03/08 06:51:29.894, 0, 34, 15, 148972, 183359, 281.50
2026/03/08 06:51:30.923, 0, 35, 16, 148972, 183359, 276.20
2026/03/08 06:51:31.959, 0, 34, 15, 148972, 183359, 279.98
2026/03/08 06:51:32.988, 0, 34, 15, 148972, 183359, 274.01
2026/03/08 06:51:34.018, 0, 33, 15, 148972, 183359, 269.62
2026/03/08 06:51:35.048, 0, 34, 15, 148972, 183359, 265.65
2026/03/08 06:51:36.077, 0, 33, 14, 148972, 183359, 278.22
2026/03/08 06:51:37.106, 0, 34, 15, 148972, 183359, 273.35
2026/03/08 06:51:38.136, 0, 34, 15, 148972, 183359, 272.70
2026/03/08 06:51:39.166, 0, 34, 16, 148972, 183359, 276.80
2026/03/08 06:51:40.197, 0, 33, 15, 148972, 183359, 275.47
2026/03/08 06:51:41.227, 0, 34, 15, 148972, 183359, 279.73
2026/03/08 06:51:42.261, 0, 33, 15, 148972, 183359, 278.83
2026/03/08 06:51:43.291, 0, 34, 15, 148972, 183359, 270.13
2026/03/08 06:51:44.324, 0, 36, 16, 148972, 183359, 276.96
2026/03/08 06:51:45.355, 0, 33, 14, 148972, 183359, 278.84
2026/03/08 06:51:46.387, 0, 34, 15, 148972, 183359, 273.01
2026/03/08 06:51:47.415, 0, 34, 15, 148972, 183359, 274.40
2026/03/08 06:51:48.446, 0, 36, 16, 148972, 183359, 275.90
2026/03/08 06:51:49.475, 0, 34, 15, 148972, 183359, 278.80
2026/03/08 06:51:50.504, 0, 34, 15, 148972, 183359, 281.91
2026/03/08 06:51:51.533, 0, 35, 16, 148972, 183359, 279.06
2026/03/08 06:51:52.563, 0, 34, 15, 148972, 183359, 282.43
2026/03/08 06:51:53.591, 0, 35, 16, 148972, 183359, 276.32
2026/03/08 06:51:54.621, 0, 34, 15, 148972, 183359, 278.29
2026/03/08 06:51:55.650, 0, 34, 15, 148972, 183359, 279.94
2026/03/08 06:51:56.680, 0, 34, 15, 148972, 183359, 276.84
2026/03/08 06:51:57.709, 0, 35, 16, 148972, 183359, 278.08
2026/03/08 06:51:58.738, 0, 35, 16, 148972, 183359, 276.03
2026/03/08 06:51:59.768, 0, 35, 16, 148972, 183359, 275.32
2026/03/08 06:52:00.798, 0, 34, 16, 148972, 183359, 268.06
2026/03/08 06:52:01.829, 0, 34, 16, 148972, 183359, 281.46
2026/03/08 06:52:02.861, 0, 34, 15, 148972, 183359, 279.26
2026/03/08 06:52:03.891, 0, 35, 16, 148972, 183359, 274.50
2026/03/08 06:52:04.922, 0, 34, 16, 148972, 183359, 277.21
2026/03/08 06:52:05.950, 0, 35, 16, 148972, 183359, 277.46
2026/03/08 06:52:06.981, 0, 34, 15, 148972, 183359, 273.88
2026/03/08 06:52:08.012, 0, 35, 16, 148972, 183359, 276.38
2026/03/08 06:52:09.044, 0, 35, 16, 148972, 183359, 288.82
2026/03/08 06:52:10.074, 0, 35, 16, 148972, 183359, 280.67
2026/03/08 06:52:11.106, 0, 34, 15, 148972, 183359, 281.23
