label,m,n,k,dtype,max_tflops,mean_tflops,median_tflops,min_ms,mean_ms,median_ms,gpu_name,app_sm_mhz,app_mem_mhz,cur_sm_mhz,cur_mem_mhz
node2_gpu2,256,4096,4096,bf16,279.62,244.56,258.98,0.0307,0.0361,0.0332,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,2304,4096,4096,bf16,982.48,937.16,948.35,0.0787,0.0826,0.0815,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,4352,4096,4096,bf16,1177.96,1130.54,1130.53,0.1240,0.1292,0.1292,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,6400,4096,4096,bf16,1012.66,979.53,985.37,0.2121,0.2193,0.2179,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,8448,4096,4096,bf16,1149.99,1120.17,1120.40,0.2465,0.2531,0.2530,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,10496,4096,4096,bf16,1220.30,1193.60,1195.90,0.2886,0.2951,0.2945,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,12544,4096,4096,bf16,1272.45,1249.83,1254.25,0.3308,0.3369,0.3356,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,14592,4096,4096,bf16,1651.64,1610.29,1615.89,0.2964,0.3042,0.3030,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,16640,4096,4096,bf16,1615.88,1572.59,1578.03,0.3455,0.3552,0.3538,NVIDIA GB200,2062,3996,1950,3996
node2_gpu2,18688,4096,4096,bf16,1497.58,1476.44,1482.23,0.4187,0.4248,0.4231,NVIDIA GB200,2062,3996,1950,3996
