test,sum_gbps
host_to_device_memcpy_ce,846.12
device_to_host_memcpy_ce,773.94
device_to_device_memcpy_read_ce,9215.89
device_to_device_memcpy_write_ce,9302.62
device_to_device_bidirectional_memcpy_read_ce_read1,9160.72
device_to_device_bidirectional_memcpy_read_ce_read2,9159.64
device_to_device_bidirectional_memcpy_read_ce_total,18320.37
device_to_device_bidirectional_memcpy_write_ce_write1,9253.69
device_to_device_bidirectional_memcpy_write_ce_write2,9246.64
device_to_device_bidirectional_memcpy_write_ce_total,18500.33
all_to_host_memcpy_ce,736.68
host_to_all_memcpy_ce,714.37
host_to_device_memcpy_ce,844.77
device_to_host_memcpy_ce,773.39
device_to_device_bidirectional_memcpy_read_ce_read1,8965.94
device_to_device_bidirectional_memcpy_read_ce_read2,8959.79
device_to_device_bidirectional_memcpy_read_ce_total,17925.73
