test,sum_gbps
host_to_device_memcpy_ce,842.5
device_to_host_memcpy_ce,772.08
device_to_device_memcpy_read_ce,8657.4
device_to_device_memcpy_write_ce,9002.3
device_to_device_bidirectional_memcpy_read_ce_read1,8616.89
device_to_device_bidirectional_memcpy_read_ce_read2,8605.5
device_to_device_bidirectional_memcpy_read_ce_total,17222.39
device_to_device_bidirectional_memcpy_write_ce_write1,8941.39
device_to_device_bidirectional_memcpy_write_ce_write2,8925.12
device_to_device_bidirectional_memcpy_write_ce_total,17866.51
all_to_host_memcpy_ce,732.4
host_to_all_memcpy_ce,699.06
