test,sum_gbps
host_to_device_memcpy_ce,842.71
device_to_host_memcpy_ce,772.15
device_to_device_memcpy_read_ce,8669.17
device_to_device_memcpy_write_ce,9001.24
device_to_device_bidirectional_memcpy_read_ce_read1,8616.0
device_to_device_bidirectional_memcpy_read_ce_read2,8594.86
device_to_device_bidirectional_memcpy_read_ce_total,17210.86
device_to_device_bidirectional_memcpy_write_ce_write1,8939.58
device_to_device_bidirectional_memcpy_write_ce_write2,8920.25
device_to_device_bidirectional_memcpy_write_ce_total,17859.82
all_to_host_memcpy_ce,732.47
host_to_all_memcpy_ce,693.06
